year,building,kwh,gas_cuft
2021,Commons,530526.6,3096761.0
2022,Commons,650826.0,583642.0
2023,Commons,678700.0,538069.0
2024,Commons,734330.0,479315.0
2025,Commons,774630.0,568691.0
2003,Couper Hall,0.0,0.0
2004,Couper Hall,19808.0,0.0
2005,Couper Hall,18673.0,0.0
2006,Couper Hall,0.0,0.0
2007,Couper Hall,23849.0,0.0
2008,Couper Hall,14138.0,0.0
2009,Couper Hall,10296.0,0.0
2010,Couper Hall,10018.0,0.0
2011,Couper Hall,10687.0,0.0
2012,Couper Hall,10943.0,0.0
2013,Couper Hall,13592.0,0.0
2014,Couper Hall,9245.0,0.0
2015,Couper Hall,11582.0,0.0
2016,Couper Hall,10994.0,0.0
2017,Couper Hall,11155.0,0.0
2018,Couper Hall,12759.0,0.0
2019,Couper Hall,13419.0,0.0
2020,Couper Hall,11732.0,0.0
2021,Couper Hall,25721.0,0.0
2022,Couper Hall,14622.0,0.0
2023,Couper Hall,17060.0,0.0
2024,Couper Hall,16603.0,0.0
2025,Couper Hall,16969.0,0.0
2003,DKE,0.0,0.0
2004,DKE,0.0,0.0
2005,DKE,0.0,0.0
2006,DKE,0.0,0.0
2007,DKE,0.0,0.0
2008,DKE,0.0,0.0
2009,DKE,0.0,0.0
2010,DKE,0.0,0.0
2011,DKE,0.0,0.0
2012,DKE,0.0,0.0
2013,DKE,0.0,0.0
2014,DKE,0.0,0.0
2015,DKE,0.0,0.0
2016,DKE,0.0,0.0
2017,DKE,0.0,0.0
2018,DKE,0.0,0.0
2019,DKE,0.0,0.0
2003,Dunham,0.0,0.0
2004,Dunham,342545.7,0.0
2005,Dunham,473933.3,0.0
2006,Dunham,0.0,0.0
2007,Dunham,328008.5,0.0
2008,Dunham,352442.0,519765.0
2009,Dunham,310091.6,390530.0
2010,Dunham,315629.2,1632247.0
2011,Dunham,303453.7,1025479.0
2012,Dunham,287719.1,1791701.0
2013,Dunham,270548.8,420400.0
2014,Dunham,258083.0,305668.0
2015,Dunham,510071.5,176663.0
2016,Dunham,626168.8,9711049.0
2017,Dunham,280041.1,2867601.0
2018,Dunham,321961.1,2718400.0
2019,Dunham,988993.9,3816990.0
2020,Dunham,233328.8,2124310.0
2021,Dunham,341232.1,0.0
2022,Dunham,560542.0,3297010.0
2023,Dunham,304982.8,1809390.0
2024,Dunham,270639.2,111450.0
2025,Dunham,271652.8,283071.0
2007,E.Root (Old Admissions),75551.0,0.0
2008,E.Root (Old Admissions),77865.0,0.0
2009,E.Root (Old Admissions),83285.0,0.0
2010,E.Root (Old Admissions),79388.0,0.0
2011,E.Root (Old Admissions),77187.0,0.0
2012,E.Root (Old Admissions),65637.0,0.0
2013,E.Root (Old Admissions),63302.0,0.0
2014,E.Root (Old Admissions),55942.0,0.0
2015,E.Root (Old Admissions),57378.0,0.0
2016,E.Root (Old Admissions),56632.0,0.0
2017,E.Root (Old Admissions),51037.0,0.0
2018,E.Root (Old Admissions),60990.0,0.0
2019,E.Root (Old Admissions),67033.0,0.0
2020,E.Root (Old Admissions),86455.0,0.0
2021,E.Root (Old Admissions),59724.0,0.0
2022,E.Root (Old Admissions),62221.0,0.0
2023,E.Root (Old Admissions),52845.0,0.0
2024,E.Root (Old Admissions),47655.0,0.0
2025,E.Root (Old Admissions),48833.0,0.0
2003,ELS,0.0,0.0
2004,ELS,0.0,0.0
2005,ELS,0.0,0.0
2006,ELS,0.0,0.0
2007,ELS,0.0,0.0
2008,ELS,0.0,0.0
2009,ELS,0.0,0.0
2003,Eells,0.0,0.0
2004,Eells,207339.0,0.0
2005,Eells,196903.0,0.0
2006,Eells,0.0,0.0
2007,Eells,181781.0,0.0
2008,Eells,170950.0,0.0
2009,Eells,158243.0,0.0
2010,Eells,145960.0,0.0
2011,Eells,154981.0,0.0
2012,Eells,160584.0,0.0
2013,Eells,153952.0,0.0
2014,Eells,120284.0,0.0
2015,Eells,0.0,0.0
2016,Eells,141793.0,0.0
2017,Eells,138333.0,0.0
2018,Eells,134105.0,0.0
2019,Eells,133092.0,0.0
2020,Eells,120250.0,0.0
2021,Eells,146988.0,0.0
2022,Eells,155963.0,0.0
2023,Eells,147268.0,0.0
2024,Eells,144219.0,0.0
2025,Eells,134462.0,0.0
2003,Farmhouse,0.0,0.0
2004,Farmhouse,0.0,0.0
2005,Farmhouse,0.0,0.0
2006,Farmhouse,0.0,0.0
2007,Farmhouse,0.0,0.0
2008,Farmhouse,0.0,0.0
2009,Farmhouse,0.0,0.0
2010,Farmhouse,0.0,0.0
2011,Farmhouse,0.0,0.0
2012,Farmhouse,0.0,0.0
2013,Farmhouse,0.0,0.0
2014,Farmhouse,0.0,0.0
2015,Farmhouse,0.0,0.0
2016,Farmhouse,0.0,0.0
2017,Farmhouse,0.0,0.0
2018,Farmhouse,0.0,0.0
2019,Farmhouse,0.0,0.0
2003,Ferguson,0.0,0.0
2004,Ferguson,159019.3,0.0
2005,Ferguson,141379.0,0.0
2006,Ferguson,0.0,0.0
2007,Ferguson,141844.9,0.0
2008,Ferguson,148234.3,0.0
2009,Ferguson,184558.9,0.0
2010,Ferguson,135967.2,0.0
2011,Ferguson,194922.7,0.0
2012,Ferguson,132462.8,0.0
2013,Ferguson,278787.1,0.0
2014,Ferguson,130783.7,0.0
2015,Ferguson,120624.7,0.0
2016,Ferguson,115672.7,0.0
2017,Ferguson,115327.3,0.0
2018,Ferguson,124081.7,0.0
2019,Ferguson,118882.1,0.0
2020,Ferguson,95036.2,0.0
2021,Ferguson,227689.8,0.0
2022,Ferguson,126587.0,0.0
2023,Ferguson,119941.8,0.0
2024,Ferguson,124720.0,0.0
2025,Ferguson,131713.2,0.0
2003,Field House,0.0,0.0
2004,Field House,660480.0,0.0
2005,Field House,662360.0,0.0
2006,Field House,0.0,0.0
2007,Field House,844800.0,0.0
2008,Field House,880000.0,0.0
2009,Field House,739920.0,0.0
2010,Field House,637440.0,0.0
2011,Field House,612480.0,0.0
2012,Field House,650240.0,0.0
2013,Field House,691200.0,0.0
2014,Field House,680320.0,0.0
2015,Field House,662400.0,0.0
2016,Field House,697600.0,0.0
2017,Field House,712320.0,0.0
2018,Field House,651520.0,0.0
2019,Field House,695680.0,0.0
2020,Field House,594560.0,0.0
2021,Field House,722560.0,0.0
2022,Field House,704640.0,0.0
2023,Field House,663040.0,0.0
2024,Field House,706560.0,0.0
2025,Field House,679680.0,0.0
2003,Gym,0.0,0.0
2004,Gym,1345280.0,0.0
2005,Gym,1281920.0,0.0
2006,Gym,1157120.0,0.0
2007,Gym,1114240.0,0.0
2008,Gym,1084160.0,189416.0
2009,Gym,1018240.0,18110350.0
2010,Gym,922880.0,14776870.0
2011,Gym,937598.0,15955790.0
2012,Gym,1044480.0,14390166.0
2013,Gym,995840.0,15946070.0
2014,Gym,1139840.0,14745030.0
2015,Gym,1072640.0,14705340.0
2016,Gym,1010560.0,14968450.0
2017,Gym,974720.0,15623050.0
2018,Gym,920320.0,16255070.0
2019,Gym,925440.0,17342950.0
2020,Gym,873600.0,14646920.0
2021,Gym,1407360.0,11976731.0
2022,Gym,1135360.0,1686678.0
2023,Gym,1441426.0,1555646.0
2024,Gym,1458488.0,1551279.0
2025,Gym,1439743.0,1647025.0
2003,Health Center,0.0,0.0
2004,Health Center,21355.0,0.0
2005,Health Center,23082.0,0.0
2006,Health Center,0.0,0.0
2007,Health Center,24944.0,0.0
2008,Health Center,26598.0,0.0
2009,Health Center,25240.0,0.0
2010,Health Center,23771.0,0.0
2011,Health Center,21311.0,0.0
2012,Health Center,26024.0,0.0
2013,Health Center,26863.0,0.0
2014,Health Center,24020.0,0.0
2015,Health Center,22347.0,0.0
2016,Health Center,21942.0,0.0
2017,Health Center,23590.0,0.0
2018,Health Center,24360.0,0.0
2019,Health Center,9934.0,0.0
2020,Health Center,9201.0,0.0
2021,Health Center,10215.0,0.0
2022,Health Center,14461.0,0.0
2023,Health Center,14367.0,0.0
2024,Health Center,16017.0,0.0
2025,Health Center,20658.0,0.0
2015,K T S A,827175.0,0.0
2016,K T S A,826350.0,0.0
2017,K T S A,842800.0,0.0
2018,K T S A,852624.0,0.0
2019,K T S A,855958.0,0.0
2020,K T S A,791902.0,0.0
2021,KTSA,830704.0,0.0
2022,KTSA,808967.0,0.0
2023,KTSA,802637.0,0.0
2024,KTSA,863339.0,0.0
2025,KTSA,903822.0,0.0
2003,Keehn Dorm,0.0,0.0
2004,Keehn Dorm,169920.0,0.0
2005,Keehn Dorm,157440.0,0.0
2006,Keehn Dorm,0.0,0.0
2007,Keehn Dorm,187200.0,0.0
2008,Keehn Dorm,161280.0,0.0
2009,Keehn Dorm,144000.0,0.0
2010,Keehn Dorm,139920.0,0.0
2011,Keehn Dorm,159120.0,0.0
2012,Keehn Dorm,167040.0,0.0
2013,Keehn Dorm,157680.0,0.0
2014,Keehn Dorm,0.0,0.0
2015,Keehn Dorm,0.0,0.0
2016,Keehn Dorm,74400.0,0.0
2017,Keehn Dorm,68640.0,0.0
2018,Keehn Dorm,70560.0,0.0
2019,Keehn Dorm,68480.0,0.0
2020,Keehn Dorm,63040.0,0.0
2021,Keehn Dorm,75040.0,0.0
2022,Keehn Dorm,72160.0,0.0
2023,Keehn Dorm,69760.0,0.0
2024,Keehn Dorm,67360.0,0.0
2025,Keehn Dorm,67840.0,0.0
2003,Kirkland Dorm,0.0,0.0
2004,Kirkland Dorm,139290.0,0.0
2005,Kirkland Dorm,131890.0,0.0
2006,Kirkland Dorm,0.0,0.0
2007,Kirkland Dorm,38460.0,0.0
2008,Kirkland Dorm,36260.0,0.0
2009,Kirkland Dorm,0.0,0.0
2010,Kirkland Dorm,110133.0,0.0
2011,Kirkland Dorm,102505.0,0.0
2012,Kirkland Dorm,101439.0,0.0
2013,Kirkland Dorm,177557.0,0.0
